state,year,quarter,entity_name,entity_type,count,amount
andaman-&-nicobar-islands,2020,2,nicobars,district,3,565.0
andaman-&-nicobar-islands,2020,2,south andaman,district,3,795.0
andaman-&-nicobar-islands,2020,2,744301,pincode,3,565.0
andaman-&-nicobar-islands,2020,2,744104,pincode,2,513.0
andaman-&-nicobar-islands,2020,2,744101,pincode,1,282.0
andaman-&-nicobar-islands,2020,3,south andaman,district,35,13651.0
andaman-&-nicobar-islands,2020,3,nicobars,district,5,1448.0
andaman-&-nicobar-islands,2020,3,north and middle andaman,district,1,281.0
andaman-&-nicobar-islands,2020,3,744112,pincode,9,3432.0
andaman-&-nicobar-islands,2020,3,744105,pincode,7,3948.0
andaman-&-nicobar-islands,2020,3,744101,pincode,5,2194.0
andaman-&-nicobar-islands,2020,3,744206,pincode,4,1620.0
andaman-&-nicobar-islands,2020,3,744107,pincode,3,1095.0
andaman-&-nicobar-islands,2020,3,744103,pincode,3,947.0
andaman-&-nicobar-islands,2020,3,744302,pincode,3,562.0
andaman-&-nicobar-islands,2020,3,744211,pincode,2,101.0
andaman-&-nicobar-islands,2020,3,744301,pincode,2,886.0
andaman-&-nicobar-islands,2020,3,744102,pincode,2,314.0
andaman-&-nicobar-islands,2020,4,south andaman,district,109,137494.0
andaman-&-nicobar-islands,2020,4,north and middle andaman,district,13,17734.0
andaman-&-nicobar-islands,2020,4,nicobars,district,2,2747.0
andaman-&-nicobar-islands,2020,4,744105,pincode,25,25659.0
andaman-&-nicobar-islands,2020,4,744101,pincode,23,29686.0
andaman-&-nicobar-islands,2020,4,744103,pincode,18,24904.0
andaman-&-nicobar-islands,2020,4,744102,pincode,17,25073.0
andaman-&-nicobar-islands,2020,4,744112,pincode,8,10459.0
andaman-&-nicobar-islands,2020,4,744106,pincode,6,4840.0
andaman-&-nicobar-islands,2020,4,744204,pincode,6,11659.0
andaman-&-nicobar-islands,2020,4,744104,pincode,4,10271.0
andaman-&-nicobar-islands,2020,4,744206,pincode,3,100.0
andaman-&-nicobar-islands,2020,4,744205,pincode,3,5235.0
andaman-&-nicobar-islands,2021,1,south andaman,district,164,167044.0
andaman-&-nicobar-islands,2021,1,north and middle andaman,district,48,63978.0
andaman-&-nicobar-islands,2021,1,nicobars,district,13,13244.0
andaman-&-nicobar-islands,2021,1,744105,pincode,47,53060.0
andaman-&-nicobar-islands,2021,1,744103,pincode,35,39985.0
andaman-&-nicobar-islands,2021,1,744101,pincode,33,24571.0
andaman-&-nicobar-islands,2021,1,744204,pincode,25,29635.0
andaman-&-nicobar-islands,2021,1,744202,pincode,12,17588.0
andaman-&-nicobar-islands,2021,1,744102,pincode,12,14085.0
andaman-&-nicobar-islands,2021,1,744104,pincode,9,7310.0
andaman-&-nicobar-islands,2021,1,744107,pincode,8,9253.0
andaman-&-nicobar-islands,2021,1,744205,pincode,7,11223.0
andaman-&-nicobar-islands,2021,1,744301,pincode,7,6612.0
andaman-&-nicobar-islands,2021,2,south andaman,district,105,121104.0
andaman-&-nicobar-islands,2021,2,north and middle andaman,district,28,45311.0
andaman-&-nicobar-islands,2021,2,nicobars,district,4,15089.0
andaman-&-nicobar-islands,2021,2,744103,pincode,36,33716.0
andaman-&-nicobar-islands,2021,2,744101,pincode,17,19787.0
andaman-&-nicobar-islands,2021,2,744105,pincode,15,17163.0
andaman-&-nicobar-islands,2021,2,744102,pincode,13,10326.0
andaman-&-nicobar-islands,2021,2,744204,pincode,10,10557.0
andaman-&-nicobar-islands,2021,2,744107,pincode,8,11459.0
andaman-&-nicobar-islands,2021,2,744202,pincode,6,9766.0
andaman-&-nicobar-islands,2021,2,744104,pincode,6,8889.0
andaman-&-nicobar-islands,2021,2,744205,pincode,6,12669.0
andaman-&-nicobar-islands,2021,2,744210,pincode,4,9430.0
andaman-&-nicobar-islands,2021,3,south andaman,district,182,223699.0
andaman-&-nicobar-islands,2021,3,north and middle andaman,district,33,50997.0
andaman-&-nicobar-islands,2021,3,nicobars,district,15,30539.0
andaman-&-nicobar-islands,2021,3,744105,pincode,70,82425.0
andaman-&-nicobar-islands,2021,3,744103,pincode,44,53909.0
andaman-&-nicobar-islands,2021,3,744101,pincode,26,29601.0
andaman-&-nicobar-islands,2021,3,744102,pincode,14,20616.0
andaman-&-nicobar-islands,2021,3,744204,pincode,13,20075.0
andaman-&-nicobar-islands,2021,3,744202,pincode,11,18134.0
andaman-&-nicobar-islands,2021,3,744112,pincode,11,14406.0
andaman-&-nicobar-islands,2021,3,744302,pincode,8,7247.0
andaman-&-nicobar-islands,2021,3,744107,pincode,6,6406.0
andaman-&-nicobar-islands,2021,3,744104,pincode,6,2221.0
andaman-&-nicobar-islands,2021,4,south andaman,district,632,800758.0
